Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length
1736948802.218082,10.59.108.55,10.59.107.93,51441,8009,6,176
1736948802.448875,10.59.104.59,239.255.255.250,59849,1900,17,210
1736948803.992718,10.59.108.55,239.255.255.250,51230,1900,17,213
1736948804.000639,10.59.107.242,10.59.108.55,1900,51230,17,380
1736948804.7265291,10.59.104.18,10.59.108.55,1900,51230,17,321
1736948804.99379,10.59.108.55,239.255.255.250,51230,1900,17,213
1736948805.079127,10.59.104.18,10.59.108.55,1900,51230,17,321
1736948805.3393931,10.59.108.133,224.0.0.251,5353,5353,17,100
1736948805.395595,10.59.108.55,10.59.108.133,5353,5353,17,393
1736948805.407798,34.158.1.133,10.59.108.55,80,64940,6,77
1736948805.408257,10.59.108.55,34.158.1.133,64940,80,6,66
1736948805.8555279,10.59.104.18,224.0.0.251,5353,5353,17,272
1736948805.9944398,10.59.108.55,239.255.255.250,51230,1900,17,213
1736948805.994688,10.59.108.55,17.248.209.129,63281,443,6,129
1736948805.994935,10.59.108.55,17.248.209.129,63281,443,6,425
1736948805.9959512,10.59.108.55,17.248.209.129,63281,443,6,129
1736948805.9961832,10.59.108.55,17.248.209.129,63281,443,6,616
1736948806.010112,10.59.107.242,10.59.108.55,1900,51230,17,380
1736948806.015241,17.248.209.129,10.59.108.55,443,63281,6,66
1736948806.017154,17.248.209.129,10.59.108.55,443,63281,6,298
1736948806.0173929,10.59.108.55,17.248.209.129,63281,443,6,66
1736948806.0187469,17.248.209.129,10.59.108.55,443,63281,6,298
1736948806.0189178,10.59.108.55,17.248.209.129,63281,443,6,66
1736948806.021982,10.59.108.55,17.248.209.129,63281,443,6,130
1736948806.022209,10.59.108.55,17.248.209.129,63281,443,6,456
1736948806.051235,17.248.209.129,10.59.108.55,443,63281,6,66
1736948806.051497,17.248.209.129,10.59.108.55,443,63281,6,298
1736948806.051719,10.59.108.55,17.248.209.129,63281,443,6,66
1736948806.0964348,142.250.184.234,10.59.108.55,443,51596,6,152
1736948806.0967958,10.59.108.55,142.250.184.234,51596,443,6,66
1736948806.097999,142.250.184.234,10.59.108.55,443,51596,6,97
1736948806.098322,10.59.108.55,142.250.184.234,51596,443,6,66
1736948806.0987022,10.59.108.55,142.250.184.234,51596,443,6,101
1736948806.0990841,10.59.108.55,142.250.184.234,51596,443,6,101
1736948806.102112,10.59.108.55,142.250.185.74,51472,443,6,296
1736948806.1025019,10.59.108.55,142.250.185.74,51472,443,6,105
1736948806.1044962,142.250.184.234,10.59.108.55,443,51596,6,105
1736948806.104809,10.59.108.55,142.250.184.234,51596,443,6,66
1736948806.105174,10.59.108.55,142.250.184.234,51596,443,6,105
1736948806.1143548,142.250.184.234,10.59.108.55,443,51596,6,66
1736948806.125621,142.250.184.234,10.59.108.55,443,51596,6,66
1736948806.127254,142.250.185.74,10.59.108.55,443,51472,6,66
1736948806.127628,142.250.185.74,10.59.108.55,443,51472,6,66
1736948806.128104,142.250.185.74,10.59.108.55,443,51472,6,105
1736948806.128475,142.250.184.234,10.59.108.55,443,51596,6,66
1736948806.1288671,10.59.108.55,142.250.185.74,51472,443,6,66
1736948806.255604,10.59.108.55,17.248.209.129,63281,443,6,130
1736948806.256074,10.59.108.55,17.248.209.129,63281,443,6,428
1736948806.2565398,10.59.108.55,17.248.209.129,63281,443,6,130
1736948806.256968,10.59.108.55,17.248.209.129,63281,443,6,618
1736948806.271056,17.248.209.129,10.59.108.55,443,63281,6,66
1736948806.273782,17.248.209.129,10.59.108.55,443,63281,6,299
1736948806.274262,10.59.108.55,17.248.209.129,63281,443,6,66
1736948806.2857118,17.248.209.129,10.59.108.55,443,63281,6,298
1736948806.286164,142.250.185.74,10.59.108.55,443,51472,6,135
1736948806.286576,142.250.185.74,10.59.108.55,443,51472,6,97
1736948806.287251,142.250.185.74,10.59.108.55,443,51472,6,105
1736948806.2881012,10.59.108.55,142.250.185.74,51472,443,6,66
1736948806.288787,10.59.108.55,17.248.209.129,63281,443,6,66
1736948806.289205,10.59.108.55,142.250.185.74,51472,443,6,105
1736948806.2897532,10.59.108.55,142.250.184.234,51596,443,6,1466
1736948806.290682,10.59.108.55,142.250.184.234,51596,443,6,1328
1736948806.29109,10.59.108.55,17.248.209.129,63281,443,6,130
1736948806.291557,10.59.108.55,17.248.209.129,63281,443,6,457
1736948806.312622,142.250.185.74,10.59.108.55,443,51472,6,105
1736948806.313379,10.59.108.55,142.250.185.74,51472,443,6,78
1736948806.3168151,17.248.209.129,10.59.108.55,443,63281,6,66
1736948806.317303,142.250.184.234,10.59.108.55,443,51596,6,66
1736948806.323423,142.250.184.234,10.59.108.55,443,51596,6,66
1736948806.323931,17.248.209.129,10.59.108.55,443,63281,6,298
1736948806.324309,10.59.108.55,17.248.209.129,63281,443,6,66
1736948806.327669,142.250.185.74,10.59.108.55,443,51472,6,66
1736948806.4448059,142.250.184.234,10.59.108.55,443,51596,6,133
1736948806.446253,142.250.184.234,10.59.108.55,443,51596,6,115
1736948806.44688,10.59.108.55,142.250.184.234,51596,443,6,66
1736948806.481914,10.59.109.169,239.255.255.250,40832,1900,17,417
1736948806.483192,10.59.109.169,239.255.255.250,44103,1900,17,464
1736948806.5750132,10.59.108.55,17.248.209.129,63281,443,6,129
1736948806.575503,10.59.108.55,17.248.209.129,63281,443,6,426
1736948806.5764968,10.59.108.55,17.248.209.129,63281,443,6,129
1736948806.576971,10.59.108.55,17.248.209.129,63281,443,6,614
