Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length,Src Packet Count,Dst Packet Count,Src Byte Count,Dst Byte Count,Src Port Count,Dst Port Count,Src Length StdDev,Dst Length StdDev
1736949852.023257,10.59.108.55,35.186.224.24,51587,443,6,149,1,0,149,0,1,1,0.0,0.0
1736949852.0236008,10.59.108.55,35.186.224.24,63426,443,17,1292,2,0,1441,0,2,1,808.2230508962239,0.0
1736949852.0255349,10.59.108.55,35.186.224.24,63426,443,17,1292,3,0,2733,0,2,1,659.9113576837423,0.0
1736949852.025897,10.59.108.55,35.186.224.24,51587,443,6,105,4,0,2838,0,2,1,672.8528813938452,0.0
1736949852.026219,10.59.108.55,35.186.224.24,51587,443,6,1250,5,0,4088,0,2,1,630.8536280310988,0.0
1736949852.032924,10.59.108.55,17.248.209.130,63314,443,6,130,6,0,4218,0,3,1,630.2221830434089,0.0
1736949852.033288,10.59.108.55,17.248.209.130,63314,443,6,427,7,0,4645,0,3,1,584.692756110095,0.0
1736949852.033725,10.59.108.55,17.248.209.130,63314,443,6,129,8,0,4774,0,3,1,573.3659389953331,0.0
1736949852.0340638,10.59.108.55,17.248.209.130,63314,443,6,616,9,0,5390,0,3,1,536.3731081170188,0.0
1736949852.051428,35.186.224.24,10.59.108.55,443,51587,6,66,1,9,66,5390,1,3,0.0,536.3731081170188
1736949852.061322,35.186.224.24,10.59.108.55,443,63426,17,82,2,9,148,5390,1,3,11.313708498984761,536.3731081170188
1736949852.0616372,35.186.224.24,10.59.108.55,443,51587,6,66,3,9,214,5390,1,3,9.237604307034013,536.3731081170188
1736949852.061985,35.186.224.24,10.59.108.55,443,51587,6,105,4,9,319,5390,1,3,18.445866745696716,536.3731081170188
1736949852.062349,35.186.224.24,10.59.108.55,443,63426,17,1292,5,9,1611,5390,1,3,542.3699844202295,536.3731081170188
1736949852.062634,17.248.209.130,10.59.108.55,443,63314,6,66,1,9,66,5390,1,3,0.0,536.3731081170188
1736949852.062913,17.248.209.130,10.59.108.55,443,63314,6,297,2,9,363,5390,1,3,163.3416664540925,536.3731081170188
1736949852.0632331,17.248.209.130,10.59.108.55,443,63314,6,297,3,9,660,5390,1,3,133.36791218280356,536.3731081170188
1736949852.0643609,35.186.224.24,10.59.108.55,443,51587,6,66,6,9,1677,5390,1,3,496.2578966626123,536.3731081170188
1736949852.0646741,10.59.108.55,35.186.224.24,51587,443,6,66,10,6,5456,1677,3,1,533.0355835526681,496.2578966626123
1736949852.06496,10.59.108.55,17.248.209.130,63314,443,6,66,11,3,5522,660,3,1,525.9513285466631,133.36791218280356
1736949852.065326,35.186.224.24,10.59.108.55,443,63426,17,1292,7,11,2969,5522,1,3,593.0240097925853,525.9513285466631
1736949852.065669,10.59.108.55,35.186.224.24,63426,443,17,203,12,7,5725,2969,3,1,508.8488717118515,593.0240097925853
1736949852.065989,10.59.108.55,17.248.209.130,63314,443,6,130,13,3,5855,660,3,1,496.6050641541926,133.36791218280356
1736949852.066317,10.59.108.55,17.248.209.130,63314,443,6,456,14,3,6311,660,3,1,477.1250728738065,133.36791218280356
